"","village","p_values"
"1","CHAU","0.470811492420344"
"2","CHUM","0.029473439965498"
"3","GADI","0.021775408288337"
"4","LORP","0.172374055072872"
"5","LUMA","0.290764944135938"
"6","PATM","0.454471453212608"
"7","PERE","0.503066560920361"
"8","RINI","0.0902159125663821"
"9","TIRK","0.231073749103132"
"10","URTH","0.26080779422898"
