Crop	Insect	Village	vF	vQ	pollen_capacity
Brassica_alba	Apis_cerana	CHUM	0.111940298507463	0.46875	95.8975332068311
Brassica_alba	Apis_cerana	GADI	0.0425531914893617	0.208333333333333	95.8975332068311
Brassica_alba	Apis_cerana	LORP	0.0797101449275362	0.702127659574468	95.8975332068311
Brassica_alba	Apis_cerana	LUMA	0.139455782312925	0.539473684210526	95.8975332068311
Brassica_alba	Apis_cerana	PATM	0.108843537414966	0.344086021505376	95.8975332068311
Brassica_alba	Apis_cerana	PERE	0.183157894736842	0.514792899408284	95.8975332068311
Brassica_alba	Apis_cerana	RINI	0.126843657817109	0.3359375	95.8975332068311
Brassica_alba	Apis_cerana	TIRK	0.125	0.294117647058823	95.8975332068311
Brassica_alba	Apis_cerana	URTH	0.151639344262295	0.379487179487179	95.8975332068311
Cucurbita_maxima	Apis_cerana	CHAU	0	0	95.8975332068311
Cucurbita_maxima	Apis_cerana	CHUM	0.0223880597014925	0.272727272727273	95.8975332068311
Cucurbita_maxima	Apis_cerana	GADI	0	0	95.8975332068311
Cucurbita_maxima	Apis_cerana	LORP	0.070048309178744	0.763157894736842	95.8975332068311
Cucurbita_maxima	Apis_cerana	LUMA	0.0493197278911565	0.591836734693878	95.8975332068311
Cucurbita_maxima	Apis_cerana	PATM	0.0204081632653061	0.428571428571429	95.8975332068311
Cucurbita_maxima	Apis_cerana	PERE	0.0231578947368421	0.323529411764706	95.8975332068311
Cucurbita_maxima	Apis_cerana	RINI	0.0648967551622419	0.458333333333333	95.8975332068311
Cucurbita_maxima	Apis_cerana	TIRK	0.13	0.52	95.8975332068311
Cucurbita_maxima	Apis_cerana	URTH	0.00409836065573771	0.4	95.8975332068311
Helianthus_annuus	Apis_cerana	CHAU	0.0121951219512195	1	95.8975332068311
Helianthus_annuus	Apis_cerana	CHUM	0	0	95.8975332068311
Helianthus_annuus	Apis_cerana	LORP	0.00483091787439613	0.222222222222222	95.8975332068311
Helianthus_annuus	Apis_cerana	PERE	0.0126315789473684	0.428571428571429	95.8975332068311
Helianthus_annuus	Apis_cerana	RINI	0.0206489675516224	0.333333333333333	95.8975332068311
Helianthus_annuus	Apis_cerana	TIRK	0.02	0.210526315789474	95.8975332068311
Helianthus_annuus	Apis_cerana	URTH	0	0	95.8975332068311
Prunus_persica	Apis_cerana	LUMA	0	0	95.8975332068311
Prunus_persica	Apis_cerana	PATM	0.00340136054421769	0.25	95.8975332068311
Prunus_persica	Apis_cerana	PERE	0.00210526315789474	0.5	95.8975332068311
Prunus_persica	Apis_cerana	RINI	0.00589970501474926	1	95.8975332068311
Prunus_persica	Apis_cerana	TIRK	0	0	95.8975332068311
Lycopersicon_esculentum	Apis_cerana	LORP	0.0072463768115942	0.333333333333333	95.8975332068311
Lycopersicon_esculentum	Apis_cerana	RINI	0	0	95.8975332068311
Cucumis_sativus	Apis_cerana	CHAU	0.00813008130081301	0.666666666666667	95.8975332068311
Cucumis_sativus	Apis_cerana	CHUM	0.00373134328358209	0.5	95.8975332068311
Cucumis_sativus	Apis_cerana	GADI	0.00425531914893617	0.5	95.8975332068311
Cucumis_sativus	Apis_cerana	LORP	0.00241545893719807	0.333333333333333	95.8975332068311
Cucumis_sativus	Apis_cerana	RINI	0	0	95.8975332068311
Cucumis_sativus	Apis_cerana	URTH	0.0122950819672131	0.666666666666667	95.8975332068311
Prunus_domestica	Apis_cerana	LUMA	0	0	95.8975332068311
Prunus_domestica	Apis_cerana	PATM	0	0	95.8975332068311
Prunus_domestica	Apis_cerana	PERE	0	0	95.8975332068311
Prunus_domestica	Apis_cerana	RINI	0	0	95.8975332068311
Pisum_sativum	Apis_cerana	CHAU	0	0	95.8975332068311
Pisum_sativum	Apis_cerana	GADI	0	0	95.8975332068311
Pisum_sativum	Apis_cerana	RINI	0	0	95.8975332068311
Pisum_sativum	Apis_cerana	URTH	0	0	95.8975332068311
Malus_domestica	Apis_cerana	CHAU	0.0894308943089431	0.814814814814815	95.8975332068311
Malus_domestica	Apis_cerana	CHUM	0.104477611940299	0.622222222222222	95.8975332068311
Malus_domestica	Apis_cerana	GADI	0.191489361702128	0.76271186440678	95.8975332068311
Malus_domestica	Apis_cerana	LORP	0.0072463768115942	0.428571428571429	95.8975332068311
Malus_domestica	Apis_cerana	LUMA	0.0629251700680272	0.672727272727273	95.8975332068311
Malus_domestica	Apis_cerana	PATM	0.0578231292517007	0.653846153846154	95.8975332068311
Malus_domestica	Apis_cerana	PERE	0.101052631578947	0.705882352941176	95.8975332068311
Malus_domestica	Apis_cerana	RINI	0.00884955752212389	0.6	95.8975332068311
Malus_domestica	Apis_cerana	TIRK	0.025	0.333333333333333	95.8975332068311
Malus_domestica	Apis_cerana	URTH	0.0348360655737705	0.586206896551724	95.8975332068311
Zea_mays	Apis_cerana	CHUM	0.00373134328358209	1	95.8975332068311
Zea_mays	Apis_cerana	GADI	0.00425531914893617	1	95.8975332068311
Zea_mays	Apis_cerana	RINI	0.0147492625368732	0.625	95.8975332068311
Hordeum_vulgare	Apis_cerana	CHUM	0.00373134328358209	1	95.8975332068311
Hordeum_vulgare	Apis_cerana	PATM	0.00340136054421769	0.5	95.8975332068311
Fagopyrum_esculentum	Apis_cerana	GADI	0	0	95.8975332068311
Fagopyrum_tataricum	Apis_cerana	CHAU	0.0040650406504065	0.333333333333333	95.8975332068311
Fagopyrum_tataricum	Apis_cerana	CHUM	0	0	95.8975332068311
Fagopyrum_tataricum	Apis_cerana	GADI	0	0	95.8975332068311
Fagopyrum_tataricum	Apis_cerana	PATM	0	0	95.8975332068311
Fagopyrum_tataricum	Apis_cerana	RINI	0.00294985250737463	0.25	95.8975332068311
Colocasia_esculenta	Apis_cerana	RINI	0	0	95.8975332068311
Solanum_tuberosum	Apis_cerana	CHAU	0	0	95.8975332068311
