number;study_village;have_apple_trees;apple_yield_change;apple_yield_years;apple_qual_change;apples_smaller;apples_bigger;apples_less_round;apples_more_round;apple_deformed;apple_taste_worse;apple_taste_better;apple_color_changed;apple_rot_more_quickly;apple_qual_other;apple_qual_dont_know
61;LUMA;yes;decrease;3;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;PATM;yes;decrease;10;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA
63;PATM;yes;no_change;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;PATM;yes;no_change;NA;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;PATM;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;1;NA;NA
66;PATM;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;PATM;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;PATM;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;PATM;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;PATM;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;PATM;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;PERE;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;PERE;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;PERE;yes;decrease;4;decrease;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA
75;PERE;yes;decrease;2;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;PERE;yes;decrease;2;decrease;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
77;PERE;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA
78;PERE;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;PERE;yes;decrease;3;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
80;PERE;yes;decrease;2;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;PERE;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;PERE;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83;PERE;yes;decrease;6;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
84;RINI;yes;decrease;3;decrease;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
85;RINI;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;RINI;yes;decrease;3;no_change;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;RINI;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
88;RINI;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;RINI;no;NA;NA;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
