number;formid;collector_barcode;study_village;hh_barcode;own_livestock;cow_number;cow_milking;ox_number;buffalo_number;buffalo_milking;chicken_number;goat_number;sheep_number;pig_number;quail_number;rabbit_number;duck_number;horse_number;fish_number;milk_vol;draught_animal;hive_number;occupied_hive_number;started_time
52;17d5d6e4-1fc1-4cb4-bc24-e2b248c730fb;pollination_LORP_013;Pere;PER112_Pere;1;4;0;3;NA;NA;NA;30;NA;NA;NA;NA;NA;3;NA;0;2;NA;NA;04-09-2022 06:33
54;f244e6f5-ef07-457c-ab25-d06c8df7234f;pollination_LORP_013;Pere;PER113_Pere;1;2;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;04-09-2022 06:57
53;a62fa4e6-89c0-44a5-b503-b39279fb416b;pollination_LORP_013;Pere;PER114_Pere;1;3;1;3;NA;NA;3;NA;NA;NA;NA;9;NA;4;NA;3;2;4;4;04-09-2022 06:46
57;d3871073-1ab8-4f10-98da-d88f6f60f74b;pollination_LORP_013;Pere;PER115_Pere;1;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;04-09-2022 07:38
55;f2b1c8f4-7bd2-45eb-add1-c3ec667bac82;pollination_LORP_013;Pere;PER116_Pere;1;5;3;2;NA;NA;NA;NA;NA;NA;NA;3;3;6;NA;5;2;NA;NA;04-09-2022 07:10
47;f5ae1c3e-7d84-449d-a24b-ae99b82f5b80;pollination_LORP_013;Pere;PER117_Pere;1;3;1;2;NA;NA;NA;20;30;NA;NA;3;NA;NA;NA;3;2;NA;NA;04-09-2022 05:06
51;f58d039f-9105-41c1-b4c2-2d9412ac3f18;pollination_LORP_013;Pere;PER118_Pere;1;NA;NA;1;NA;NA;7;25;40;NA;NA;NA;NA;2;NA;0;1;NA;NA;04-09-2022 06:20
179;4e079480-94ff-4248-9b8a-d88926549476;pollination_LORP_013;Pere;PER119_Pere;1;3;0;1;NA;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;0;1;NA;NA;06-09-2022 03:27
183;43fc4fa7-a91f-44b1-a3fb-036e0d5d323f;pollination_LORP_013;Pere;PER120_Pere;1;2;0;2;NA;NA;NA;NA;40;NA;NA;9;NA;NA;NA;0;2;NA;NA;06-09-2022 03:31
199;5a95f09d-7857-4128-b3b9-418452e9cd73;pollination_RINI_017;Rini;RIN103_Rini;1;6;0;3;NA;NA;NA;5;NA;NA;NA;12;NA;NA;NA;0;2;NA;NA;28-09-2022 03:36
59;f2b84e9b-d689-42a3-8a8c-51a9faca4268;pollination_RINI_017;Rini;RIN105_Rini;1;3;0;NA;NA;NA;2;43;NA;NA;2;6;NA;NA;NA;0;0;NA;NA;28-08-2022 14:33
200;00d0ca5f-b3f7-4e8a-b3f3-f75fd5247f39;pollination_RINI_017;Rini;RIN107_Rini;1;3;0;NA;NA;NA;6;NA;45;NA;NA;8;NA;NA;NA;0;1;8;6;28-09-2022 03:38
60;9b56873a-ee4b-4ff2-b281-25e4b09d7021;pollination_RINI_017;Rini;RIN108_Rini;1;2;0;3;NA;NA;6;NA;NA;NA;NA;12;NA;NA;NA;0;3;NA;NA;28-08-2022 14:52
216;870ca6af-533f-4de8-a6ad-e35f064a181e;pollination_TIRK_018;Rini;RIN109_Rini;1;3;1;1;NA;NA;3;NA;NA;NA;NA;5;NA;NA;NA;7;1;NA;NA;21-10-2022 10:27
202;98dcb744-6863-4f70-b585-0adc6daf4636;pollination_RINI_017;Rini;RIN110_Rini;1;2;1;NA;NA;NA;6;NA;23;NA;NA;7;NA;NA;NA;2;1;NA;NA;28-09-2022 03:44
61;52ea8a44-c35b-40d7-9d50-8542f449d8d1;pollination_RINI_017;Rini;RIN111_Rini;1;3;0;1;NA;NA;NA;8;NA;NA;NA;6;3;NA;NA;0;1;NA;NA;28-08-2022 15:07
62;51dbe5d0-d535-409b-8b9a-344c8390e79e;pollination_RINI_017;Rini;RIN112_Rini;1;3;0;NA;NA;NA;8;NA;41;NA;NA;NA;NA;NA;NA;0;0;NA;NA;30-08-2022 00:46
204;ee07924e-a853-42f1-8749-fa864580193b;pollination_RINI_017;Rini;RIN113_Rini;1;3;1;NA;NA;NA;9;21;NA;NA;NA;8;NA;NA;NA;0;1;NA;NA;28-09-2022 03:45
217;10da6be5-70a0-4938-ba21-5675968d408c;pollination_TIRK_018;Rini;RIN113_Rini;1;2;0;2;NA;NA;1;4;NA;NA;NA;3;NA;NA;NA;0;1;2;2;21-10-2022 11:07
205;dcbe3900-48ba-422a-80d8-46a83aa50bbb;pollination_RINI_017;Rini;RIN114_Rini;1;5;1;NA;NA;NA;6;NA;NA;NA;NA;8;NA;NA;NA;5;1;NA;NA;28-09-2022 03:48
218;ee1b4bb2-bf3a-43ab-90c6-6d1eaf887496;pollination_TIRK_018;Rini;RIN114_Rini;1;3;0;NA;NA;NA;6;NA;NA;NA;NA;3;NA;NA;NA;0;0;NA;NA;21-10-2022 11:37
203;7e92efef-3a0e-454f-b739-cb6311429eeb;pollination_RINI_017;Rini;RIN115_Rini;1;2;1;NA;NA;NA;NA;NA;45;NA;NA;11;NA;2;NA;0;0;8;3;28-09-2022 03:42
219;a67527fc-ab60-4ac0-af69-8a9cdc980629;pollination_TIRK_018;Rini;RIN115_Rini;1;4;0;2;NA;NA;4;NA;6;NA;NA;6;NA;NA;NA;0;1;NA;NA;21-10-2022 11:49
63;ea3b2afe-d9b6-4b31-be65-12f90c7bce24;pollination_RINI_017;Rini;RIN116_Rini;1;2;0;2;NA;NA;5;NA;NA;NA;NA;11;2;NA;NA;0;2;NA;NA;30-08-2022 01:03
64;1971a483-c556-4704-9418-9ef6f0bd21b4;pollination_RINI_017;Rini;RIN117_Rini;1;1;0;2;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;NA;0;2;NA;NA;30-08-2022 01:16
201;bdb78f3f-e387-4a4d-89cd-2e3a08c9406f;pollination_RINI_017;Rini;RIN118_Rini;1;3;0;NA;NA;NA;NA;13;26;NA;NA;16;NA;NA;NA;0;1;8;5;28-09-2022 03:39
65;9d06f626-13d1-4fd1-8738-f9e570590d4a;pollination_RINI_017;Rini;RIN119_Rini;1;3;0;NA;NA;NA;6;NA;NA;NA;NA;9;NA;NA;NA;5;1;6;2;30-08-2022 01:26
207;b59823c5-ac99-4d30-8b05-c766e1e79ef2;pollination_RINI_017;Rini;RIN126_Rini;1;2;1;NA;NA;NA;6;NA;25;NA;NA;6;NA;NA;NA;2;0;7;4;28-09-2022 03:54
206;e9908a30-7eb8-41b8-b7ca-f28b478cb79b;pollination_RINI_017;Rini;RIN127_Rini;1;3;1;1;NA;NA;7;NA;NA;NA;NA;5;NA;NA;NA;0;1;23;8;28-09-2022 03:49
91;4e872a90-cb11-4e40-837c-15beb91667bd;pollination_TIRK_018;Tirkhu;TIR101_Tirkhu;1;2;0;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;0;0;NA;NA;28-08-2022 12:50
104;71c9b754-b949-4052-be1b-a6a6b16f3010;pollination_TIRK_018;Tirkhu;TIR102_Tirkhu;1;4;0;NA;NA;NA;NA;4;NA;NA;NA;3;NA;NA;NA;0;0;NA;NA;31-08-2022 10:00
94;5bb804d8-55b2-4abf-a9b9-c37e2d53b601;pollination_TIRK_018;Tirkhu;TIR103_Tirkhu;1;4;1;NA;NA;NA;2;1;NA;NA;NA;4;NA;NA;NA;5;0;NA;NA;29-08-2022 11:33
95;7cc97233-401d-4c09-8a14-629d7a4329c5;pollination_TIRK_018;Tirkhu;TIR104_Tirkhu;1;2;0;1;NA;NA;1;NA;10;NA;NA;5;NA;2;NA;0;0;NA;NA;29-08-2022 12:00
103;5ad731fd-9dff-4aec-b96e-c48bb8352ce8;pollination_TIRK_018;Tirkhu;TIR105_Tirkhu;1;3;1;1;NA;NA;11;4;NA;NA;NA;3;NA;2;NA;14;1;7;4;31-08-2022 09:32
101;f8f98e72-5300-4360-a707-1b14436caf7f;pollination_TIRK_018;Tirkhu;TIR106_Tirkhu;1;4;0;1;NA;NA;NA;NA;NA;NA;NA;15;NA;2;NA;0;1;NA;NA;31-08-2022 08:31
96;cb98c1d0-2038-4bb3-8df6-a3fd40589f33;pollination_TIRK_018;Tirkhu;TIR107_Tirkhu;1;4;1;1;NA;NA;NA;NA;NA;NA;NA;2;NA;4;NA;7;0;NA;NA;29-08-2022 12:30
102;62606ea1-88e4-4878-a089-f85fcc52599e;pollination_TIRK_018;Tirkhu;TIR108_Tirkhu;1;1;0;2;2;0;NA;1;NA;NA;NA;14;1;6;NA;0;2;NA;NA;31-08-2022 09:02
98;1e8f9aba-0ccb-483a-b6f5-f3c1919714e1;pollination_TIRK_018;Tirkhu;TIR109_Tirkhu;1;1;0;3;NA;NA;9;7;42;NA;NA;8;2;NA;NA;0;3;NA;NA;30-08-2022 09:45
99;c951d5cb-4943-49eb-8e50-db0784f69b80;pollination_TIRK_018;Tirkhu;TIR110_Tirkhu;1;2;1;1;NA;NA;5;NA;NA;NA;NA;10;NA;NA;NA;5;0;NA;NA;31-08-2022 07:35
97;bf9df3bd-be62-4f7a-98e6-48fbf815735b;pollination_TIRK_018;Tirkhu;TIR111_Tirkhu;1;4;1;1;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;8;1;NA;NA;29-08-2022 12:55
93;7bf05310-51ed-4b97-8f71-d2a0f90f8b8d;pollination_TIRK_018;Tirkhu;TIR112_Tirkhu;1;5;0;1;NA;NA;1;7;30;NA;NA;5;NA;NA;NA;0;1;NA;NA;29-08-2022 10:56
100;efad5a3c-a5b7-48ef-8858-0ab8ea312a1b;pollination_TIRK_018;Tirkhu;TIR113_Tirkhu;1;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;31-08-2022 08:01
105;1db10dd4-b162-4875-8bb1-a7cede56458e;pollination_TIRK_018;Tirkhu;TIR114_Tirkhu;1;1;0;1;NA;NA;NA;15;NA;NA;NA;2;1;NA;NA;0;1;NA;NA;31-08-2022 12:18
107;3c3d7380-8ef3-406f-bd4d-002f97e36ec1;pollination_TIRK_018;Tirkhu;TIR115_Tirkhu;1;1;0;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;01-09-2022 11:37
106;2a55e6f7-dffe-4b2b-be08-8dbea7229489;pollination_TIRK_018;Tirkhu;TIR116_Tirkhu;1;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;01-09-2022 11:14
109;c22197b8-e50b-4a8e-849b-547acfa0833c;pollination_TIRK_018;Tirkhu;TIR117_Tirkhu;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;01-09-2022 12:22
108;3cd76388-089b-448d-9258-d62c1c4aad80;pollination_TIRK_018;Tirkhu;TIR119_Tirkhu;1;1;1;1;NA;NA;5;6;NA;NA;NA;5;NA;NA;NA;7;1;NA;NA;01-09-2022 11:58
110;a92bb263-3fac-4d1e-a6fa-aabe008ced07;pollination_TIRK_018;Tirkhu;TIR120_Tirkhu;1;2;0;1;NA;NA;3;NA;NA;NA;NA;5;NA;NA;NA;0;1;NA;NA;04-09-2022 09:01
92;69022b5f-7e5b-4112-920c-700e06b35601;pollination_TIRK_018;Tirkhu;TIR121_Tirkhu;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;1;NA;NA;29-08-2022 10:22
27;566adb06-c780-4aa2-8c37-1bb838113c0b;pollination_URTH_019;Urthu;URT101_Urthu;1;1;0;1;NA;NA;3;20;NA;NA;NA;5;NA;NA;NA;0;1;NA;NA;29-08-2022 14:01
31;e22b126c-eaec-452b-a02a-23e8138a00f7;pollination_URTH_019;Urthu;URT102_Urthu;1;2;0;1;NA;NA;3;NA;NA;NA;NA;5;1;NA;NA;0;1;NA;NA;31-08-2022 04:57
35;a5c12815-6c3c-49d0-aab4-290d21680fbc;pollination_URTH_019;Urthu;URT103_Urthu;1;2;0;1;NA;NA;NA;NA;NA;NA;NA;12;NA;NA;NA;0;1;NA;NA;31-08-2022 14:43
28;fffe5e3e-30bb-47d8-9b0f-6eee7d7377af;pollination_URTH_019;Urthu;URT104_Urthu;1;NA;NA;2;1;0;5;NA;NA;NA;NA;NA;NA;NA;NA;0;2;NA;NA;31-08-2022 02:13
21;c7b40a43-01e3-46d1-9363-a214bda36c39;pollination_URTH_019;Urthu;URT105_Urthu;1;2;0;1;NA;NA;4;NA;NA;NA;NA;2;2;NA;NA;0;1;NA;NA;28-08-2022 11:15
22;f0d52704-f846-4f13-94d8-7a1e0160d1f9;pollination_URTH_019;Urthu;URT106_Urthu;1;6;2;2;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;5;1;NA;NA;28-08-2022 12:04
36;86f74014-ff77-4341-a6c8-6bc2a69b5cc2;pollination_URTH_019;Urthu;URT107_Urthu;1;3;0;2;NA;NA;2;NA;NA;NA;NA;10;NA;NA;NA;0;1;NA;NA;31-08-2022 15:23
26;faf53559-2358-442b-a8fa-cef0844238fd;pollination_URTH_019;Urthu;URT108_Urthu;1;2;0;1;NA;NA;2;NA;NA;NA;NA;6;NA;NA;NA;0;1;NA;NA;29-08-2022 13:07
25;89963714-74ff-42ae-8b7d-edfed956eb9f;pollination_URTH_019;Urthu;URT109_Urthu;1;2;0;1;NA;NA;5;NA;NA;NA;NA;3;NA;NA;NA;0;1;NA;NA;29-08-2022 02:53
29;b0e86150-cfa9-444e-9538-7675388cdc1f;pollination_URTH_019;Urthu;URT110_Urthu;1;2;1;1;NA;NA;NA;NA;NA;NA;NA;6;NA;NA;NA;5;1;NA;NA;31-08-2022 03:12
37;fb209bb8-2815-4999-8e3f-39218b2184fc;pollination_URTH_019;Urthu;URT111_Urthu;1;3;0;1;NA;NA;5;NA;NA;NA;NA;10;NA;NA;NA;0;1;NA;NA;31-08-2022 14:37
32;4ab0d969-c125-4644-b207-9caccc089972;pollination_URTH_019;Urthu;URT112_Urthu;1;2;0;1;NA;NA;5;NA;NA;NA;NA;8;2;NA;NA;0;1;NA;NA;31-08-2022 05:22
33;b84e3877-87a8-43f5-b830-e0be92e98b74;pollination_URTH_019;Urthu;URT113_Urthu;1;3;0;2;NA;NA;5;50;10;NA;NA;8;NA;NA;NA;0;2;5;3;31-08-2022 13:20
38;ec2ac371-566a-42db-9951-8cc84a948f6c;pollination_URTH_019;Urthu;URT113_Urthu;1;3;1;1;NA;NA;4;NA;20;NA;NA;10;NA;NA;NA;4;1;NA;NA;31-08-2022 15:56
30;9057f330-e908-4952-9dd0-5bb8da6f8252;pollination_URTH_019;Urthu;URT114_Urthu;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31-08-2022 04:07
34;28b4a6cb-6432-4a96-86cf-394ad51fdd8a;pollination_URTH_019;Urthu;URT115_Urthu;1;4;0;1;NA;NA;3;NA;NA;NA;NA;9;NA;NA;NA;0;1;NA;NA;31-08-2022 14:04
40;af66de54-2d34-470b-9a6c-cce7c538064e;pollination_URTH_019;Urthu;URT118_Urthu;1;1;0;1;NA;NA;5;10;5;NA;NA;4;8;NA;NA;0;1;NA;NA;31-08-2022 16:29
24;0c735b80-295b-4089-a314-954d361a9442;pollination_URTH_019;Urthu;URT120_Urthu;1;NA;NA;1;NA;NA;3;30;NA;NA;NA;5;NA;NA;NA;0;1;NA;NA;29-08-2022 02:09
23;c104648b-a11b-4cfe-9adb-ba21ede17039;pollination_URTH_019;Urthu;URT121_Urthu;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29-08-2022 01:28
39;6f8cae81-8caf-4762-864e-c74c8ac36cfe;pollination_URTH_019;Urthu;URT122_Urthu;1;NA;NA;1;NA;NA;2;10;NA;NA;NA;5;NA;NA;NA;0;1;NA;NA;31-08-2022 16:12
