number;study_village;beekeeping_years;beehive_change;2022;2021;2019;2017;2012;2009;pop_change
107;TIRK;40;decrease;0;3;13;NA;NA;NA;decrease
108;URTH;13;decrease;0;NA;8;2;1;NA;decrease
109;URTH;19;decrease;9;9;16;10;6;13;decrease
110;URTH;7;increase;8;8;3;1;NA;NA;increase
111;URTH;30;decrease;3;3;3;5;8;20;decrease
112;URTH;12;decrease;6;6;12;35;12;95;decrease
113;URTH;3;no_change;2;2;NA;NA;NA;NA;decrease
114;URTH;2;decrease;3;3;NA;NA;NA;NA;increase
115;URTH;16;decrease;2;2;8;13;16;1;decrease
116;URTH;5;decrease;7;7;48;3;NA;NA;no_change
