number,study_village,honey_yield_change,honey_change_years,2021,2019,2017,2012,2009
107,TIRK,dont_know,NA,0,5,0,4,NA
108,URTH,decrease,10,NA,1.5,1,0,NA
109,URTH,decrease,3,1.54,1.203125,0.77,2.053333333,1.54
110,URTH,decrease,3,NA,0.513333333,4.62,NA,NA
111,URTH,decrease,10,15.4,0.77,0.77,3.85,15.4
112,URTH,decrease,6,6.93,1.54,2.31,4.62,6.93
113,URTH,dont_know,NA,NA,NA,NA,NA,NA
114,URTH,increase,2,NA,NA,NA,NA,NA
115,URTH,decrease,4,1.54,2.5,1.230769231,1,2
116,URTH,decrease,2,0.714285714,0.666666667,5,NA,NA
