"","village","p_values"
"1","CHAU","1.38942719118218e-10"
"2","CHUM","0.00263241125648185"
"3","GADI","0.0222101773360894"
"4","LORP","9.18910398385993e-17"
"5","LUMA","0.00313562038124385"
"6","PATM","1.78051245175874e-34"
"7","PERE","1.19728597218878e-09"
"8","RINI","0.132921072703792"
"9","TIRK","0.77149853811754"
"10","URTH","2.18983410100371e-28"
