study_village;district;1995;1996;1997
niyapani;haku;9;6;3
juita_pur;haku;16;3;0
jarmi;tatopani;0;3;0
jarmi;tatopani;1;9;0
jarmi;tatopani;0;2;0
jarmi;tatopani;1;5;2
litakot;tatopani;0;0;0
litakot;tatopani;NA;NA;NA
litakot;tatopani;0;2;0
bairaka;tatopani;0;4;0
lamra;lamra;3;4;0
lamra;lamra;3;1;1
lamra;lamra;6;1;0
hiyakhola;lamra;2;2;0
jethi_bada;lamra;0;0;0
khadak_bada;lamra;0;1;0
rawat_bada;lamra;7;11;0
larmi;raralihi;0;1;0
lihi;raralihi;NA;NA;NA
lihi;raralihi;10;1;0
rara;raralihi;2;0;0
puru;malika_thata;10;NA;NA
malapani;malika_thata;3;2;NA
rasa;malika_thata;0;4;NA
kotila;talihum;NA;NA;NA
jativid;talihum;NA;NA;NA
tamti;tamti;10;10;NA
machaldew;tamti;0;1;0
topla;tamti;20;0;3
luhi;ghodemahadew;0;0;0
ripi;ghodemahadew;0;1;NA
ghode;ghodemahadew;5;5;NA
jogi_bada;badaki;1;4;0
dandakot;chandan_natha;NA;NA;1
ghodesin;patmara;11;2;NA
ghodesin;patmara;50;3;0
ghodesin;patmara;6;0;0
rini;patmara;0;4;0
patmara;patmara;6;7;2
urthu;patmara;0;3;3
siala_gadegau;Patarasi;14;17;NA
siala_gadegau;Patarasi;10;9;NA
Peregau;patrasi;NA;NA;NA
Talphi;patrasi;4;8;NA
Huri;Chamchaur;1;NA;NA
Mahari;Chamchaur;2;4;NA
Chauraa;chum_chaur;NA;NA;NA
Badgau;chum_chaur;2;1;0
Badgau;chum_chaur;2;1;0
Tirku;Dillichaur;12;9;0
Lambri;Dillichaur;5;8;0
Japna;Dillichaur;7;0;0
Mathilo_lorpa;Dillichaur;2;24;0
Talo_Lorpa;dillichaur;8;0;0
Depalgaun;Depalgaun;0;1;0
Kumri;Depalgaun;0;7;0
Gajrangkot;Gajrangkot;5;4;0
Gothichaur;Gothichaur;8;10;0
Kuri;Gothichaur;2;8;0
Muni_Gau;Gothichaur;1;3;0
Chotra;Gothichaur;0;1;0
Gidikhola;Haku;3;2;0
Patar_Khola;mahabi_patarkhala;15;0;0
Marchi;mahabi_patarkhala;1;2;0
Patar_Khola;mahabi_patarkhala;8;15;0
Momla;badaki;10;3;0
Wadi_Gau;badaki;0;4;0
Wadi;badaki;0;2;0
nuwakot;kudari;6;4;NA
sapulli;kudari;20;12;NA
rawatbada;kudari;6;4;NA
gidi_khola;haku;2;10;4
rocabada;talihum;4;6;NA
talihum;talihum;6;5;NA
raca;tatopani;4;4;NA
bairaca;tatopani;3;1;NA
Dhobigat;kanakasundari;8;7;NA
legpar;kanakasundari;20;5;NA
hatsija;kanakasundari;8;8;NA
urthu;patmara;1;15;22
tlichaur;canda_natha;10;3;4
gairagaun;kartiksawmi;12;2;8
dandakot;canda_natha;75;40;15
simkhada;canda_natha;NA;NA;1
neta;bumra_madichaur;4;NA;NA
bumra;bumra_madichaur;20;NA;NA
bhiunawla;bumra_madichaur;2;NA;NA
sipti;bumra_madichaur;5;10;NA
riya;bumra_madichaur;17;NA;NA
riya;bumra_madichaur;20;NA;NA
bata;patmara;4;1;NA
ghodesin;patmara;NA;1;NA
gidikhola;haku;NA;5;NA
