Crop	Village	vF	vQ	pollen_capacity	Importance
Raphanus_sativus	CHAU	0.052	0.619047619047619	70.0555555555556	2.25512169312169
Raphanus_sativus	CHUM	0.062043795620438	0.708333333333333	106.891304347826	4.69762575372898
Raphanus_sativus	GADI	0.0121951219512195	0.6	148.327586206897	1.08532380151388
Raphanus_sativus	LORP	0.0394431554524362	0.566666666666667	31.1666666666667	0.696609951018304
Raphanus_sativus	LUMA	0.0202020202020202	0.521739130434783	89.0632911392405	0.938743516619136
Raphanus_sativus	PATM	0.065359477124183	0.377358490566038	55.2424242424242	1.36249659002156
Raphanus_sativus	PERE	0.0208768267223382	0.5	48.6301369863014	0.507621471673292
Raphanus_sativus	RINI	0.0679886685552408	0.428571428571429	88.3461538461538	2.57423030227563
Raphanus_sativus	TIRK	0.0483091787439614	0.2	86.7833333333333	0.838486312399356
Raphanus_sativus	URTH	0.092	0.63013698630137	73.2727272727273	4.24781070983811
Nicotiana_tabacum	CHAU	0.004	0.166666666666667	70.0555555555556	0.0467037037037037
Nicotiana_tabacum	PATM	0.0065359477124183	0.5	55.2424242424242	0.180530798177857
Eleusine_coracana	GADI	0.0040650406504065	0.142857142857143	148.327586206897	0.0861368096439585
Daucus_carota	CHAU	0	0	70.0555555555556	0
Daucus_carota	LORP	0.00928074245939675	0.666666666666667	31.1666666666667	0.192833204434132
Daucus_carota	TIRK	0	0	86.7833333333333	0
Cucumis_sativus	CHAU	0.008	0.666666666666667	70.0555555555556	0.37362962962963
Cucumis_sativus	CHUM	0.00364963503649635	0.5	106.891304347826	0.19505712472231
Cucumis_sativus	GADI	0.0040650406504065	0.5	148.327586206897	0.301478833753855
Cucumis_sativus	LORP	0.00232018561484919	0.333333333333333	31.1666666666667	0.0241041505542666
Cucumis_sativus	RINI	0	0	88.3461538461538	0
Cucumis_sativus	URTH	0.012	0.666666666666667	73.2727272727273	0.586181818181818
Cyclanthera_pedata	CHAU	0.02	0.25	70.0555555555556	0.350277777777778
Cyclanthera_pedata	CHUM	0.00364963503649635	0.25	106.891304347826	0.0975285623611552
Cyclanthera_pedata	GADI	0.0284552845528455	0.4375	148.327586206897	1.84655785674236
Cyclanthera_pedata	LORP	0.0278422273781903	0.375	31.1666666666667	0.325406032482599
Cyclanthera_pedata	LUMA	0.0134680134680135	0.195121951219512	89.0632911392405	0.234049874062224
Cyclanthera_pedata	PATM	0.0065359477124183	0.222222222222222	55.2424242424242	0.0802359103012698
Cyclanthera_pedata	PERE	0.0146137787056367	0.333333333333333	48.6301369863014	0.236890020114203
Cyclanthera_pedata	RINI	0.0311614730878187	0.354838709677419	88.3461538461538	0.976869653238108
Cyclanthera_pedata	TIRK	0.0869565217391304	0.285714285714286	86.7833333333333	2.15610766045549
Cyclanthera_pedata	URTH	0.048	0.224299065420561	73.2727272727273	0.788880203908241
Prunus_persica	LUMA	0	0	89.0632911392405	0
Prunus_persica	PATM	0.00326797385620915	0.25	55.2424242424242	0.0451326995444643
Prunus_persica	PERE	0.00208768267223382	0.333333333333333	48.6301369863014	0.0338414314448861
Prunus_persica	RINI	0.0056657223796034	1	88.3461538461538	0.500544780998039
Prunus_persica	TIRK	0	0	86.7833333333333	0
Origanum_vulgare	CHAU	0.004	0.0625	70.0555555555556	0.0175138888888889
Origanum_vulgare	CHUM	0	0	106.891304347826	0
Origanum_vulgare	GADI	0	0	148.327586206897	0
Origanum_vulgare	LORP	0.0232018561484919	0.588235294117647	31.1666666666667	0.425367362722351
Origanum_vulgare	LUMA	0.0101010101010101	0.428571428571429	89.0632911392405	0.385555372897145
Origanum_vulgare	PATM	0.022875816993464	0.179487179487179	55.2424242424242	0.22682074642859
Origanum_vulgare	RINI	0.0623229461756374	0.372881355932203	88.3461538461538	2.0530819830767
Origanum_vulgare	TIRK	0.0144927536231884	0.115384615384615	86.7833333333333	0.145122630992196
Origanum_vulgare	URTH	0.126	0.663157894736842	73.2727272727273	6.12251483253588
Brassica_oleracea	LORP	0	0	31.1666666666667	0
Brassica_oleracea	LUMA	0	0	89.0632911392405	0
Solanum_melongena	CHAU	0	0	70.0555555555556	0
Solanum_melongena	LORP	0	0	31.1666666666667	0
Coriandrum_sativum	CHAU	0.052	0.448275862068966	70.0555555555556	1.63301915708812
Coriandrum_sativum	CHUM	0.0437956204379562	0.571428571428571	106.891304347826	2.67506913904883
Coriandrum_sativum	GADI	0	0	148.327586206897	0
Coriandrum_sativum	LORP	0.0417633410672854	0.6	31.1666666666667	0.780974477958237
Coriandrum_sativum	LUMA	0.031986531986532	0.612903225806452	89.0632911392405	1.74605452923134
Coriandrum_sativum	PATM	0.00326797385620915	0.0769230769230769	55.2424242424242	0.0138869844752198
Coriandrum_sativum	PERE	0.0417536534446764	0.625	48.6301369863014	1.26905367918323
Coriandrum_sativum	RINI	0.0169971671388102	0.230769230769231	88.3461538461538	0.346531002229411
Coriandrum_sativum	TIRK	0.0144927536231884	0.130434782608696	86.7833333333333	0.164051669817265
Coriandrum_sativum	URTH	0.09	0.378151260504202	73.2727272727273	2.49373567608862
Fagopyrum_tataricum	CHAU	0.012	0.115384615384615	70.0555555555556	0.097
Fagopyrum_tataricum	CHUM	0.0109489051094891	0.111111111111111	106.891304347826	0.130038083148207
Fagopyrum_tataricum	GADI	0	0	148.327586206897	0
Fagopyrum_tataricum	LORP	0.0162412993039443	0.35	31.1666666666667	0.177165506573859
Fagopyrum_tataricum	LUMA	0	0	89.0632911392405	0
Fagopyrum_tataricum	PATM	0	0	55.2424242424242	0
